ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-01,23.500324,8.856072679674742,23.08519602085014,23.500324,23.500324,-7.331986189702816,-7.331986189702816,-7.331986189702816,-0.30328524799278933,-0.30328524799278933,-0.30328524799278933,-7.028700941710027,-7.028700941710027,-7.028700941710027,0.0,0.0,0.0,16.16833781029718
2015-01-02,23.504897948858446,10.430897338163856,26.127855675036887,23.504897948858446,23.504897948858446,-5.326498350058277,-5.326498350058277,-5.326498350058277,1.750331312021132,1.750331312021132,1.750331312021132,-7.076829662079409,-7.076829662079409,-7.076829662079409,0.0,0.0,0.0,18.17839959880017
2015-01-03,23.509471897716896,12.106085309939575,27.712156019441185,23.509471897716896,23.509471897716896,-3.708681996612051,-3.708681996612051,-3.708681996612051,3.4283246998592,3.4283246998592,3.4283246998592,-7.137006696471251,-7.137006696471251,-7.137006696471251,0.0,0.0,0.0,19.800789901104846
2015-01-04,23.514045846575343,13.219054771106373,28.86516242442818,23.514045846575343,23.514045846575343,-2.701615499381858,-2.701615499381858,-2.701615499381858,4.506004019543846,4.506004019543846,4.506004019543846,-7.207619518925704,-7.207619518925704,-7.207619518925704,0.0,0.0,0.0,20.812430347193484
2015-01-05,23.51861979543379,2.9617693590663006,18.364952235087614,23.51861979543379,23.51861979543379,-12.541875875607163,-12.541875875607163,-12.541875875607163,-5.255168164750755,-5.255168164750755,-5.255168164750755,-7.286707710856408,-7.286707710856408,-7.286707710856408,0.0,0.0,0.0,10.976743919826626
2015-01-06,23.523193744292236,6.110169934353795,22.658144231974415,23.523193744292236,23.523193744292236,-9.384282642184655,-9.384282642184655,-9.384282642184655,-2.0122537273640644,-2.0122537273640644,-2.0122537273640644,-7.372028914820591,-7.372028914820591,-7.372028914820591,0.0,0.0,0.0,14.138911102107581
2015-01-07,23.527767693150683,5.822555692397356,21.39795326079665,23.527767693150683,23.527767693150683,-9.575083563744432,-9.575083563744432,-9.575083563744432,-2.113952891329207,-2.113952891329207,-2.113952891329207,-7.461130672415225,-7.461130672415225,-7.461130672415225,0.0,0.0,0.0,13.95268412940625
2015-01-08,23.53234164200913,7.704577421890202,23.29481675186497,23.53234164200913,23.53234164200913,-7.8547113493045675,-7.8547113493045675,-7.8547113493045675,-0.3032852479960524,-0.3032852479960524,-0.3032852479960524,-7.5514261013085155,-7.5514261013085155,-7.5514261013085155,0.0,0.0,0.0,15.677630292704562
2015-01-09,23.53691559086758,10.310936487185963,25.13222865457642,23.53691559086758,23.53691559086758,-5.889939988417896,-5.889939988417896,-5.889939988417896,1.7503313120130943,1.7503313120130943,1.7503313120130943,-7.640271300430991,-7.640271300430991,-7.640271300430991,0.0,0.0,0.0,17.646975602449682
2015-01-10,23.541489539726026,11.319238311700225,26.393495948736653,23.541489539726026,23.541489539726026,-4.296717664044778,-4.296717664044778,-4.296717664044778,3.428324699868794,3.428324699868794,3.428324699868794,-7.725042363913572,-7.725042363913572,-7.725042363913572,0.0,0.0,0.0,19.24477187568125
2015-01-11,23.546063488584473,12.883802847821348,27.09974591346215,23.546063488584473,23.546063488584473,-3.2972059134525886,-3.2972059134525886,-3.2972059134525886,4.506004019540906,4.506004019540906,4.506004019540906,-7.803209932993495,-7.803209932993495,-7.803209932993495,0.0,0.0,0.0,20.248857575131883
2015-01-12,23.550637437442923,2.230826230919034,18.111041612512892,23.550637437442923,23.550637437442923,-13.127577483534015,-13.127577483534015,-13.127577483534015,-5.255168164746231,-5.255168164746231,-5.255168164746231,-7.872409318787784,-7.872409318787784,-7.872409318787784,0.0,0.0,0.0,10.423059953908908
2015-01-13,23.55521138630137,5.556360534903529,21.189537629855945,23.55521138630137,23.55521138630137,-9.942758111383256,-9.942758111383256,-9.942758111383256,-2.0122537273638343,-2.0122537273638343,-2.0122537273638343,-7.930504384019421,-7.930504384019421,-7.930504384019421,0.0,0.0,0.0,13.612453274918114
2015-01-14,23.559785335159816,5.560514367630471,21.359270876870156,23.559785335159816,23.559785335159816,-10.089596464953436,-10.089596464953436,-10.089596464953436,-2.1139528913131875,-2.1139528913131875,-2.1139528913131875,-7.975643573640248,-7.975643573640248,-7.975643573640248,0.0,0.0,0.0,13.47018887020638
2015-01-15,23.564359284018263,7.432104913878164,22.446939195982562,23.564359284018263,23.564359284018263,-8.30959197471137,-8.30959197471137,-8.30959197471137,-0.3032852479993154,-0.3032852479993154,-0.3032852479993154,-8.006306726712056,-8.006306726712056,-8.006306726712056,0.0,0.0,0.0,15.254767309306892
2015-01-16,23.56893323287671,9.379791138712523,24.95654295124792,23.56893323287671,23.56893323287671,-6.271010265716843,-6.271010265716843,-6.271010265716843,1.750331312032989,1.750331312032989,1.750331312032989,-8.021341577749832,-8.021341577749832,-8.021341577749832,0.0,0.0,0.0,17.297922967159867
2015-01-17,23.57350718173516,11.21908965367972,26.802155404595382,23.57350718173516,23.57350718173516,-4.591664457176457,-4.591664457176457,-4.591664457176457,3.4283246998748114,3.4283246998748114,3.4283246998748114,-8.019989157051269,-8.019989157051269,-8.019989157051269,0.0,0.0,0.0,18.981842724558703
2015-01-18,23.578081130593606,12.55199748591883,28.270726728189555,23.578081130593606,23.578081130593606,-3.495893598201331,-3.495893598201331,-3.495893598201331,4.506004019544053,4.506004019544053,4.506004019544053,-8.001897617745383,-8.001897617745383,-8.001897617745383,0.0,0.0,0.0,20.082187532392275
2015-01-19,23.582655079452053,2.6063319840748806,18.11041793287155,23.582655079452053,23.582655079452053,-13.22229250820914,-13.22229250820914,-13.22229250820914,-5.25516816474903,-5.25516816474903,-5.25516816474903,-7.96712434346011,-7.96712434346011,-7.96712434346011,0.0,0.0,0.0,10.360362571242913
2015-01-20,23.587229028310503,5.892645920224139,21.867308159483326,23.587229028310503,23.587229028310503,-9.928380242929649,-9.928380242929649,-9.928380242929649,-2.0122537273563554,-2.0122537273563554,-2.0122537273563554,-7.916126515573293,-7.916126515573293,-7.916126515573293,0.0,0.0,0.0,13.658848785380854
2015-01-21,23.59180297716895,5.285039588771848,21.144326001549324,23.59180297716895,23.59180297716895,-9.963693525393087,-9.963693525393087,-9.963693525393087,-2.113952891321225,-2.113952891321225,-2.113952891321225,-7.8497406340718605,-7.8497406340718605,-7.8497406340718605,0.0,0.0,0.0,13.628109451775863
2015-01-22,23.596376926027396,7.764587350641479,23.18783851392887,23.596376926027396,23.596376926027396,-8.072437030563536,-8.072437030563536,-8.072437030563536,-0.3032852480171199,-0.3032852480171199,-0.3032852480171199,-7.769151782546417,-7.769151782546417,-7.769151782546417,0.0,0.0,0.0,15.52393989546386
2015-01-23,23.600950874885843,9.876710548308354,25.428624504132266,23.600950874885843,23.600950874885843,-5.925522385855826,-5.925522385855826,-5.925522385855826,1.750331312017381,1.750331312017381,1.750331312017381,-7.675853697873206,-7.675853697873206,-7.675853697873206,0.0,0.0,0.0,17.67542848903002
2015-01-24,23.60552482374429,11.73670809607092,27.27032700915919,23.60552482374429,23.60552482374429,-4.143276241743594,-4.143276241743594,-4.143276241743594,3.4283246998736656,3.4283246998736656,3.4283246998736656,-7.57160094161726,-7.57160094161726,-7.57160094161726,0.0,0.0,0.0,19.462248582000697
2015-01-25,23.61009877260274,12.799368159549125,28.551048476108928,23.61009877260274,23.61009877260274,-2.9523506474207317,-2.9523506474207317,-2.9523506474207317,4.5060040195464985,4.5060040195464985,4.5060040195464985,-7.45835466696723,-7.45835466696723,-7.45835466696723,0.0,0.0,0.0,20.657748125182007
2015-01-26,23.614672721461186,2.9322824181644718,19.011910628403964,23.614672721461186,23.614672721461186,-12.593391792054396,-12.593391792054396,-12.593391792054396,-5.255168164751829,-5.255168164751829,-5.255168164751829,-7.338223627302566,-7.338223627302566,-7.338223627302566,0.0,0.0,0.0,11.02128092940679
2015-01-27,23.619246670319633,6.7462236372134505,22.511291661294486,23.619246670319633,23.619246670319633,-9.225655903896282,-9.225655903896282,-9.225655903896282,-2.0122537273633747,-2.0122537273633747,-2.0122537273633747,-7.213402176532905,-7.213402176532905,-7.213402176532905,0.0,0.0,0.0,14.393590766423351
